交易日,交易別,股票代號,股票名稱,股數,單價,進帳/出帳,,XIRR,總成本(賣-買),總價值(現值+配息),總獲利(%),總配息
2021/01/11,買,0050,,130,131.9,-17147,,23.39%,-448141,719607,60.57602406,28842
2021/01/15,買,2330,台積,20,612,-12240,,,,,,
2021/01/20,買,2376,技嘉,40,79.5,-3180,,,,,,
2021/01/25,買,2330,台積,5,644,-3220,,,,,,
2021/01/29,買,2330,,5,603,-3015,,,,,,
2021/02/22,買,006208,,200,80.25,-16050,,,,,,
2021/02/26,買,2884,玉山金,100,25.59,-2559,,,,,,
2021/03/12,買,006208,,100,77.6,-7760,,,,,,
2021/03/22,買,2330,,15,591,-8865,,,,,,
2021/05/03,買,2330,,10,596,-5960,,,,,,
2021/05/13,買,2330,,12,548,-6576,,,,,,
2021/05/18,買,006208,,18,75.06,-1351,,,,,,
2021/05/18,買,006208,,50,75.1,-3755,,,,,,
2021/06/17,買,0056,,150,34.69,-5203,,,,,,
2021/07/14,買,0056,,120,34.88,-4185,,,,,,
2021/07/14,買,2376,,30,97.1,-2913,,,,,,
2021/08/12,買,006208,,90,78.94,-7105,,,,,,
2021/08/25,買,2376,,20,85.8,-1716,,,,,,
2021/09/22,買,006208,,30,78.77,-2363,,,,,,
2021/09/22,配股,2884,,6,0,0,,,,,,
2021/10/04,買,006208,,80,77.25,-6180,,,,,,
2021/10/05,買,006208,,20,76.5,-1530,,,,,,
2021/11/01,買,00646,元大SP&500,160,39.36,-6297,,,,,,
2021/12/27,賣,0056,,-270,33.49,9042,,,,,,
2021/12/27,賣,00646,元大SP&500,-160,40.44,6470,,,,,,
2022/01/10,買,006208,富邦台50,500,82.95,-41474,,,,,,
2022/01/10,賣,2330,台積電,-67,640,42880,,,,,,
2022/01/14,買,006208,,80,84.45,-6756,,,,,,
2022/01/21,息,0050,,,,416,,,,,,
2022/02/11,買,006208,,120,83.35,-10002,,,,,,
2022/03/11,買,006208,,100,78.05,-7805,,,,,,
2022/03/11,買,00646,,200,37.11,-7422,,,,,,
2022/04/11,買,006208,,300,77.5,-23250,,,,,,
2022/04/11,買,00646,,800,39.84,-31873,,,,,,
2022/05/19,買,006208,,120,71.2,-8544,,,,,,
2022/05/19,買,00646,,200,35.99,-7197,,,,,,
2022/06/13,買,006208,,100,71.7,-7170,,,,,,
2022/06/13,買,00646,,300,35.45,-10635,,,,,,
2022/07/18,息,006208,,,,2381,,,,,,
2022/07/18,息,0050,,,,234,,,,,,
2022/07/19,買,006208,,20,65.65,-1313,,,,,,
2022/07/28,息,2884,,,,71,,,,,,
2022/08/18,買,006208,,30,70,-2100,,,,,,
2022/08/18,買,00646,,40,39.4,-1576,,,,,,
2022/08/31,配股,2884,,7,0,0,,,,,,
2022/09/23,買,0050,,20,110.3,-2206,,,,,,
2022/09/23,買,00646,,70,36.8,-2576,,,,,,
2022/09/23,買,2884,,27,26.78,-723,,,,,,
2022/09/27,買,006208,,20,61.95,-1239,,,,,,
2022/10/11,買,006208,,40,60.7,-2428,,,,,,
2022/10/11,買,00646,,100,35.85,-3585,,,,,,
2022/11/14,買,00646,,50,38.12,-1906,,,,,,
2022/11/15,買,2376,,10,100,-1000,,,,,,
2022/11/16,買,006208,,20,65.45,-1309,,,,,,
2022/11/16,息,006208,,,,2078,,,,,,
2022/12/16,買,006208,,20,63.85,-1277,,,,,,
2022/12/16,買,00646,,60,37.25,-2235,,,,,,
2023/01/12,買,006208,,50,65.7,-3285,,,,,,
2023/01/16,買,00646,,100,37.45,-3745,,,,,,
2023/01/30,息,0050,,,,390,,,,,,
2023/02/14,賣,00646,,-1000,38.6,38600,,,,,,
2023/02/14,賣,00646,,-500,38.4,19199,,,,,,
2023/02/15,買,006208,,100,69.7,-6970,,,,,,
2023/03/16,買,006208,,50,67.94,-3397,,,,,,
2023/03/27,買,006208,,50,70.44,-3522,,,,,,
2023/03/30,買,2884,,50,24.94,-1247,,,,,,
2023/04/11,買,006208,,40,69.95,-2798,,,,,,
2023/04/14,買,006208,,100,69.95,-6995,,,,,,
2023/04/24,買,006208,,40,68.45,-2738,,,,,,
2023/05/03,配股,2884,,7,0,0,,,,,,
2023/05/23,買,006208,,50,70.6,-3530,,,,,,
2023/05/26,買,006208,,60,72.53,-4352,,,,,,
2023/05/26,買,2884,,63,25.92,-1633,,,,,,
2023/06/15,賣,0050,,-150,131.53,19729,,,,,,
2023/06/15,買,006208,,300,76.21,-22862,,,,,,
2023/06/16,買,006208,,80,75.99,-6079,,,,,,
2023/06/29,買,006208,,22,74.68,-1643,,,,,,
2023/07/06,賣,2884,,-260,26,6760,,,,,,
2023/07/12,買,006208,,100,74.84,-7484,,,,,,
2023/07/13,買,006208,,100,76.14,-7614,,,,,,
2023/07/18,息,006208,,,,4326,,,,,,
2023/07/20,買,006208,,50,74.8,-3740,,,,,,
2023/07/27,買,006208,,100,,-7479,,,,,,
2023/07/27,買,00646,,1000,,-44460,,,,,,
2023/08/03,息,2376,,,,620,,,,,,
2023/08/14,買,00631L,,60,130.4,-7824,,,,,,
2023/08/21,買,00631L,,62,128.61,-7974,,,,,,
2023/08/31,買,00631L,,50,132.92,-6646,,,,,,
2023/09/11,買,00631L,,60,131.08,-7865,,,,,,
2023/09/15,買,00631L,,50,135.88,-6794,,,,,,
2023/09/26,買,00631L,,60,128.88,-7733,,,,,,
2023/10/17,買,00631L,,60,132.48,-7949,,,,,,
2023/11/02,賣,00646,,-1000,42.5,42498,,,,,,
2023/11/02,賣,00646,,-420,42.7,17934,,,,,,
2023/11/16,息,006208,,,,2884,,,,,,
2023/11/30,買,00631L,,20,142.8,-2856,,,,,,
2023/12/20,買,006208,,100,76.15,-7615,,,,,,
2024/01/12,買,006208,,40,75.65,-3026,,,,,,
2024/01/12,買,00631L,,20,145.1,-2902,,,,,,
2024/01/15,買,006208,,120,76.1,-9132,,,,,,
2024/01/15,買,00631L,,20,146.5,-2930,,,,,,
2024/02/02,買,006208,,50,78.7,-3935,,,,,,
2024/02/21,買,006208,,100,82.61,-8261,,,,,,
2024/02/26,買,006208,,20,84,-1680,,,,,,
2024/03/06,買,006208,,100,86.32,-8632,,,,,,
2024/04/03,買,006208,,75,93.09,-6982,,,,,,
2024/04/11,買,006208,,25,95,-2375,,,,,,
2024/04/19,買,006208,,30,89.1,-2673,,,,,,
2024/04/19,買,00631L,,8,186.5,-1492,,,,,,
2024/04/22,買,00631L,,10,178.9,-1789,,,,,,
2024/05/07,買,006208,,70,93.74,-6562,,,,,,
2024/05/13,息,006208,,,,6955,,,,,,
2024/05/13,息,0050,,,,230,,,,,,
2024/05/13,息,2884,,,,650,,,,,,
2024/05/14,買,006208,,70,95.45,-6681,,,,,,
2024/05/21,買,006208,,90,97.64,-8788,,,,,,
2024/06/17,買,006208,,30,105.25,-3157,,,,,,
2024/07/05,買,006208,,10,112.7,-1127,,,,,,
2024/07/16,買,006208,,30,115.1,-3453,,,,,,
2024/07/16,息,006208,,,,3351,,,,,,
2024/07/19,買,006208,,10,110.4,-1104,,,,,,
2024/07/23,買,006208,,16,108.25,-1732,,,,,,
2024/08/02,買,00631L,,10,227.85,-2278,,,,,,
2024/08/05,息,2376,,,,635,,,,,,
2024/08/06,買,00631L,,10,179.5,-1795,,,,,,
2024/08/13,買,00631L,,14,217,-3038,,,,,,
2024/08/19,買,0050,,10,183.4,-1834,,,,,,
2024/08/27,賣,0050,,-10,180.7,1807,,,,,,
2024/08/27,買,006208,,40,105.75,-4230,,,,,,
2024/09/05,買,00631L,,10,208.9,-2089,,,,,,
2024/09/13,買,006208,,40,104.05,-4162,,,,,,
2024/09/23,買,006208,,30,107,-3210,,,,,,
2024/10/22,買,006208,,40,115.5,-2310,,,,,,
2024/11/18,息,006208,,,,4037,,,,,,
2024/11/12,買,006208,,20,114.8,-2296,,,,,,
2024/11/21,買,006208,,20,110,-2200,,,,,,
2024/11/21,買,00631L,,10,231.9,-2319,,,,,,
2024/11/25,買,006208,,30,111.65,-3349,,,,,,
2024/11/29,買,006208,,20,108,-2160,,,,,,
2024/11/29,買,00631L,,10,222.75,-2227,,,,,,
2025/01/13,買,006208,,30,114.7,-3445,,,,,,
2025/01/15,買,006208,,20,113.25,-2268,,,,,,
2025/01/15,買,00631L,,10,232.55,-2328,,,,,,
2025/01/20,賣,006208,,60,116.45,6972,,,,,,
2025/02/04,賣,006208,,815,114.15,93032,,,,,,
2025/02/04,買,00631L,,360,232.4,-83664,,,,,,
2025/04/07,買,006208,,50,93.35,-4667,,,,,,
2025/04/07,買,00631L,,20,160.25,-3209,,,,,,
2025/04/07,買,00631L,,20,160.25,-3209,,,,,,
2025/04/14,買,00631L,,20,160.05,-3205,,,,,,
2025/06/16,買,00631L,,20,196.43,-3919,,,,,,
2025/08/01,息,006208,,,,3739,,,,,,
2025/08/28,息,2376,,,,990,,,,,,
2025/09/19,買,006208,,20,132.8,-2877,,,,,,
2025/11/14,買,006208,,20,144.5,-2894,,,,,,